사업장명,업종구분대분류,업종구분소분류,도로명전체주소
탑동에이치지,일반음식점,기타,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)"
에릭스에스프레소,일반음식점,기타,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층"
일품순두부한림점,일반음식점,한식,"제주특별자치도 제주시 한림읍 한림상로 237, 1층"
김복남맥주제주아라점,일반음식점,식육(숯불구이),"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)"
봉플라봉뱅,일반음식점,기타,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)"
우정곱창아라점,일반음식점,정종/대포집/소주방,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)"
얌샘김밥제대점,일반음식점,기타,"제주특별자치도 제주시 산천단동2길 13, 1층 101호 (아라일동)"
스톤아일랜드탭하우스,일반음식점,기타,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)"
레게펍,일반음식점,기타,
옹포분식,일반음식점,기타,"제주특별자치도 제주시 한림읍 월계로 15, 1층"
연두랑고갈비,일반음식점,한식,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)"
협재더꽃돈본점,일반음식점,기타,"제주특별자치도 제주시 한림읍 한림로 366, 1층"
한마음정육식당삼화점,일반음식점,기타,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)"
와르다레스토랑,일반음식점,기타,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)"
길섶나그네,일반음식점,한식,"제주특별자치도 제주시 조천읍 미래로 241, 1층"
사랑뜰,일반음식점,기타,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층"
고기탐나네,일반음식점,기타,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층"
수니테이블,일반음식점,분식,제주특별자치도 제주시 구좌읍 문주란로 33-1
연화양꼬치,일반음식점,중국식,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)"
제주함덕장어,일반음식점,기타,"제주특별자치도 제주시 조천읍 함덕로 20, 1층"
예쁘게즐겁게,일반음식점,기타,"제주특별자치도 제주시 구좌읍 월정3길 16, 1동 1층"
제주도해녀세자매,일반음식점,일식,제주특별자치도 제주시 한림읍 한림해안로 275
24시누름돌김치찌개,일반음식점,기타,"제주특별자치도 제주시 노연로 146, 1층 (연동)"
선흘바람,일반음식점,기타,"제주특별자치도 제주시 조천읍 선교로 571, 1층"
이돈갓아라점,일반음식점,기타,"제주특별자치도 제주시 인다10길 36, 2층 (아라일동)"
바삭돈가스삼화점,일반음식점,경양식,"제주특별자치도 제주시 화삼로 7, 티엠빌딩 3층 301호 (화북일동)"
남궁푸드,일반음식점,기타,"제주특별자치도 제주시 한림읍 한림중앙로 46, 2층"
한림피그농원,일반음식점,기타,"제주특별자치도 제주시 한림읍 한수풀로2길 31, 1층"
하도39,일반음식점,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 1766-14, 1층"
옥성식당,일반음식점,기타,"제주특별자치도 제주시 동광로1길 32, 보성시장 (이도일동)"
제주마당,일반음식점,기타,"제주특별자치도 제주시 도리로 50, 2층 (이호일동)"
보오리,일반음식점,기타,"제주특별자치도 제주시 애월읍 광령평화3길 18, 1층"
대붕정,일반음식점,한식,"제주특별자치도 제주시 조천읍 선교로 571, 1층"
미연이네집,일반음식점,기타,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)"
영화루,일반음식점,중국식,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)"
맥주창고,일반음식점,기타,"제주특별자치도 제주시 도남로 40, 1층 (도남동, 윤재연립)"
램앤블랙,일반음식점,기타,"제주특별자치도 제주시 조천읍 교래1길 45, B,C동 1층"
살레안의고깃,일반음식점,기타,"제주특별자치도 제주시 월산남길 110, 1층 (노형동)"
우도청정식당,일반음식점,한식,"제주특별자치도 제주시 우도면 우도해안길 804, 1층"
핫피엔도,일반음식점,호프/통닭,"제주특별자치도 제주시 전농로 48-1, 1층 (삼도일동)"
호주면세점제주점,일반음식점,기타,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)"
분식쟁이,일반음식점,중국식,"제주특별자치도 제주시 중앙로 140, 1층 (삼도이동)"
폭풍장어외도점,일반음식점,기타,"제주특별자치도 제주시 일주서로 7326, 1층 (외도일동)"
수빈이네제주밥상,일반음식점,한식,"제주특별자치도 제주시 사라봉7길 31-1, 1층 (건입동)"
안녕하샌,일반음식점,호프/통닭,"제주특별자치도 제주시 구좌읍 월정3길 53-15, 2동"
오늘식탁,일반음식점,분식,"제주특별자치도 제주시 가령로4길 1, 1층 (이도이동)"
시차,일반음식점,한식,"제주특별자치도 제주시 조천읍 신북로 88, 지1층 104호 (라움시티)"
돈삼겹직영5호점,일반음식점,한식,"제주특별자치도 제주시 신설로9길 37, 지하1층 (이도이동)"
미미래,일반음식점,기타,"제주특별자치도 제주시 용담로 94, 1층 (용담이동)"
티엔미미,일반음식점,기타,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)"
호자,일반음식점,한식,"제주특별자치도 제주시 구좌읍 세화8길 7, 1층"
납읍반점,일반음식점,중국식,"제주특별자치도 제주시 애월읍 납읍동4길 2, 1층"
아하,일반음식점,기타,"제주특별자치도 제주시 은남1길 31, 3층 (연동)"
돌담칼국수세화점,일반음식점,한식,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층"
베롱베롱인행원,일반음식점,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 820-38, 1층"
동문감자탕,일반음식점,한식,"제주특별자치도 제주시 중앙로13길 25-2, 보인빌딩 1층 (일도일동)"
심해,일반음식점,일식,"제주특별자치도 제주시 조천읍 조함해안로 330-1, 지하1층"
애월기록,일반음식점,기타,"제주특별자치도 제주시 애월읍 번대동길 4, 1층"
금능식당,일반음식점,분식,"제주특별자치도 제주시 한림읍 한림로 224, 1층"
역전할머니맥주제주시청점,일반음식점,호프/통닭,"제주특별자치도 제주시 광양8길 4, 1층 (이도이동)"
웰컴버거,일반음식점,기타,"제주특별자치도 제주시 중앙로1길 41-1, 1층 (건입동)"
오늘도치킨과맥주가좋다,일반음식점,호프/통닭,"제주특별자치도 제주시 한림읍 사가길 22, 1층"
우동먹젠,일반음식점,기타,"제주특별자치도 제주시 애월읍 소길남길 22, 1층"
뽕꼬랑,일반음식점,기타,"제주특별자치도 제주시 조천읍 남조로 2228, 1층"
